reviewer,description,rating,review_date
Victor A.D,,5.0,Hace 4 años
Manel Hurtado Arqueros,,5.0,Hace 2 años
Sara Gavilán,,5.0,Hace un año
Aurora Serrano,Una escuela 100% recomendable!,5.0,Hace 8 meses
Cristian lol,Bien,5.0,Hace 4 meses
Liliana de Ríos,Excelente.,5.0,Hace 11 meses
Guillaume Teyssie,Una escuela que hace cosas innovadoras.,5.0,Hace 3 años
hola natalia eres muy guapa tengo 11 años Raya,Porque mi hermana va a ese colegio,5.0,Hace 5 años
Elisabet Balaguer,(Traducido por Google) Acompañamiento en todo el camino de nuestro hijo tanto educacional como personalmente. Un equipo muy humano y muy preparado. Son únicos. …,5.0,Hace 5 meses
Daniel Salvador,,5.0,Hace un año
Celeste Palizas,,5.0,Hace 5 años
Montse Fernandez,,5.0,Hace 2 años
Xavi Vila,,5.0,Hace 2 años
