reviewer,description,rating,review_date
Ana Samper,"Es un casal civico, donde se hacen infinidad de actividades,  cursillos para todos y de distintos temas, con varios horarios a elegir.  Es una torre emblemática,  solo visitarla ya es un placer. Ahora todos los viernes por la tarde se …",5.0,Hace un año
Xavier Felip,"Estuve allá de visita. Es un espacio especial por sus muchas habitaciones en las que se pueden realizar múltiples actividades. Observé a muchas personas que hacen del lugar un sitio acogedor, con padres con sus hijos, en un ambiente …",3.0,Hace 2 años
Andres Benedito,Se realizan todo tipo de actividades,3.0,Hace 4 meses
Rosa Franco Mendoza,Fantastica arquitectura,4.0,Hace 4 años
Alfonso Soriano,Muy bonita,4.0,Hace 11 meses
Joaquin Guerrero Pator,Me encanta el trabajo que hacen,5.0,Hace 10 meses
Judith Torres,Un lugar encantador. Todos súper amables y con una oferta de cursos muy amplia. Nos encanta ir!,5.0,Hace 2 años
guillermo benitez,Sitio muy recomendable,5.0,Hace un año
Ainhoa Abrines,Casal de barrio reformado muy completo.,5.0,Hace 3 años
Xiomy Cardona,Sitio agradable para estar con tus peques.,4.0,Hace un año
Flash Resaka Resaka,"Es un buen sitio para estar con niños, es como un centro cívico la gente es muy amable",5.0,Hace 2 años
juan jose almagro,Muy bonita por fuera,4.0,Hace 2 años
Antonio Nuñez Urbano,Muy bien es una buena de dar buen uso a una construcción antigua y buena forma de dar cultura.,5.0,Hace 2 años
Maife Agra Melcon,Bello espacio cultural.,4.0,Hace 2 años
ketty flor modesta cedeño gonzalez,Bonito paisajes,4.0,Hace un año
Lorena Peinado,Lugar muy bonito. Muchas actividades interesantes para hacer.,4.0,Hace 2 años
Fina Mateu Soler,. Me parece un lugar muy agradable,5.0,Hace 2 años
Pili Rodriguez Rodriguez,Me encanta éste lugar!!!!,5.0,Hace 9 meses
J.A.L,"Edificio bien restaurado,pero su utilidad dista a la que realmete es su proposito.Faltan mas salas para actividades y solo con una sala para gimnasia, yoga etc.es insuficiente. …",1.0,Hace 2 años
Marcos Fresnillo,"Hacen muchas actividades, el yoga en familia es muy recomendable!",5.0,Hace 2 años
JNG,Un mal momento para tantisimos euros en restaurar un edificio siempre para los mismos en momentos en que La Sagrera necesita para los recursos sociales de vecinos desfavorecidos .,2.0,Hace 2 años
Francisco Millán Guix,Interesante vestigio de arquitectura urbana/industrial.,4.0,Hace 2 años
Álvaro Casuso Álvarez,Hermosa construcción dedicada actualmente a Casal del barrio con actividades culturales. Creo que es de estilo noucentista.,5.0,Hace 3 años
Enric Ruiz,Buena gente,4.0,Hace un año
Monica siccar,Excelente lugar!,5.0,Hace un año
Ramon Forza,"Todo reformado, antigua masía ahora casal. Muy recomendable.",5.0,Hace 2 años
Sebas Bcn,"Horribles los ""mosaicos"" de la restauración.",2.0,Hace 4 años
Bern Saló i Nevado,"Sede social de Drac, Diables i Gegants de la Sagrera, colla creada en 1982 dedicada a la cultura tradicional y del fuego con grupo de Diables infantil y varias figuras de la cultura del fuego también",5.0,Hace 2 años
elevenix,No se fien en el letrero de llegada del bus varias veces se ha pasado o llegado tarde el bus,5.0,Hace un año
Montserrat Oliveros Gonzalez,Excelentes actividades e instalaciones. Yo estoy realizando las clases de tai chi y estoy muy contenta tanto con la actividad como con la profesora …,5.0,Hace 2 años
Luisa Melia,Espacio rehabilitado manteniendo la belleza de sus orígenes. Grandes  oferta de actividades para todas las edades,5.0,Hace 2 años
Carmen Pastor Castilla,"Muy agradable, necesario sobre todo los jóvenes.",5.0,Hace 2 años
Elo Maroto Monterrubio,A mí me gusta mucho,4.0,Hace 2 años
juan carlos garrido,Bonito sitio para ir con la familia,5.0,Hace 2 años
Adolfo Cabañero,Muy bonit,5.0,Hace 2 años
Ramon Planas,Muy buena.,5.0,Hace 2 años
El Pinzha,Excelente,5.0,Hace un año
Pere Filella,Edificio restaurado con equipamentos para associaciones y entidades del barrio.,5.0,Hace 3 años
Charly Cuencos de Cuarzo,Excelente comida a un precio muy apropiado,5.0,Hace 3 años
Patricia Olmos,Nuestra segunda casa ;),5.0,Hace 2 años
Ángel Guillén,Precioso auditorio,4.0,Hace 3 años
Secundino Borrego Peña,Para hacer muchas actividades y también con niños,3.0,Hace un año
Rosa Adell,Muchas actividades para hacer con espacios muy completos.,5.0,Hace 3 años
Igor Naumov,No hay palabras...,5.0,Hace 2 años
Jose Campoy,Una torre recuperada para los ciudadanos.,5.0,Hace 2 años
Dani Mateo,"Talleres interesantes y asociaciones del barrio, como en Banco del Tiempo",5.0,Hace 2 años
Noemi,Acogedora,5.0,Hace 2 años
Luis Diaz,"Es un lugar para actividades sociales.Conferencias, actividades lúdicas Etc.",4.0,Hace 3 años
CUENCOS DE CUARZO Bcn,Tranquilo,5.0,Hace 3 años
Grom Cito,(Traducido por Google) Un equipamiento en el corazón del barrio pensado desde el barrio y hacia el barrio. …,5.0,Hace un mes
Matilde Tubau Clara,"(Traducido por Google) Es una torre muy bien cuidada, con unos pequeños huertos en su jardín …",4.0,Hace 5 meses
Francesc Zanuy Roca,(Traducido por Google) Un lugar con encanto e historia del barrio,5.0,Hace 3 meses
Carolina Garcia,(Traducido por Google) Hay un recreo de niños. Es más divertidos ...,3.0,Hace 6 meses
Jordi PL,(Traducido por Google) Importante centro cívico del barrio.,5.0,Hace 5 meses
Xavier Xiqués,"(Traducido por Google) Un muy buen espacio de barrio, con muchas actividades, donde poder disfrutar con los niños.",5.0,Hace 7 meses
Fogonillas Gr,(Traducido por Google) Nuevo refugio antiaéreo de la Guerra Civil ..,5.0,Hace 4 años
FRANCESC XAVIER BASTOS OBERCIE,(Traducido por Google) Un espacio con muchas actividades y abierto al barrio. Fantástico! …,5.0,Hace 10 meses
Ruth Estevez,(Traducido por Google) Casal de barrio con muy buenas actividades para toda la familia. Lo recomiendo muchísimo! …,4.0,Hace 11 meses
Jordi FERRANDO I PARCERISAS,"(Traducido por Google) Lugar restaurado recientemente, donde han encontrado un refugio antiaéreo (de momento no se puede visitar) - personal muy atento …",5.0,Hace 9 meses
MariaPaz Cid Lopez,(Traducido por Google) Participo en el proyecto comunitario del huerto.,4.0,Hace 9 meses
yoli bp,"(Traducido por Google) No, no me parece muy bonita por fuera y por dentro sólo conozco una parte. …",4.0,Hace un año
Irene Casadesús,(Traducido por Google) La Torre es preciosa por fuera y por dentro. Se organizan muchísimas actividades para grandes y pequeños. Y la gente que trabaja se fantástica. Un gran centro de encuentro en el barrio. …,5.0,Hace un año
Marga Font,(Traducido por Google) buena,4.0,Hace 6 meses
MVR MVR,"(Traducido por Google) Un lugar maravilloso, con excelentes instalaciones y un trato de su personal inmejorable. …",5.0,Hace 2 años
Leire Casanovas,"(Traducido por Google) Mis niñas en la madriguera, estamos encantados con los monitores y ellas también, gracias por todo chicos !! …",5.0,Hace 2 años
Núria Carrillo Mainé,(Traducido por Google) Centro cívico muy chulo!,5.0,Hace un año
Albert Gomez,(Traducido por Google) Muy bonito y ls restauración del edificio hecha con muy buen gusto …,5.0,Hace 2 años
rosa bCanut,"(Traducido por Google) Un espacio de gestión comunitaria. Las asociaciones del barrio organizan la dinámica del barrio. Cursos, charlas, lugares de reunión, un buen ejemplo de crear red y buena vecindad. …",5.0,Hace 2 años
manuel garcia mena,(Traducido por Google) Sólo he estado una vez en el interior pero fue una visita rápida. …,5.0,Hace 2 años
Xavi García,(Traducido por Google) Mi pequeña no puede pasar cerca sin entrar a saludar a la Sagrerina y la Sagresaureta. Empiezan a hacer cursos y estaré al acecho para apuntarme a algún! …,5.0,Hace 3 años
Pau d,(Traducido por Google) muy buena restauración pero hicimos un evento sin aire acondicionado ni aparcamiento. Imposible de encontrar aparcamiento ni taxi. …,2.0,Hace 3 años
DOMUS serveis,(Traducido por Google) Edificio emblemático del barrio de la Sagrera.,5.0,Hace 3 años
Gina M. Zaragoza,"(Traducido por Google) Espacio en crecimiento que cada día ofrece mejores actividades además de ser la sede de diferentes entidades del barrio de la Sagrera. Destaca la exposición permanente de la imaginería festiva (gigante, cabezudos y …",5.0,Hace 3 años
Dolors,(Traducido por Google) Un centro joven pero en muchas ganas de hacer comunidad!,5.0,Hace 2 años
José Vilà Servià,"(Traducido por Google) Casal Cívico recién inaugurado, magnífico lugar para hacer actividades, exposiciones, conferencias, etcétera …",4.0,Hace 2 años
Lidia Ibañez Rubio,"(Traducido por Google) Muy bonita y muy bien restaurada, las personas que trabajan son muy amables …",5.0,Hace 3 años
Gabriel Busquets,(Traducido por Google) Un lugar tranquilo con muchas opciones para crecer.,4.0,Hace 2 años
Marco de Blas,(Traducido por Google) Únete a Jugamos y descubre el mundo de los juegos de mesa …,5.0,Hace 3 años
Margarida Giralt Doya,(Traducido por Google) Recién abierto y lleno de actividades !!!!,4.0,Hace 3 años
